total_income,essentials_percentage,savings_percentage,investments_percentage,discretionary_percentage,risk_tolerance,financial_status
1455,41.86,27.15,9.11,21.88,High,growth
1978,67.19,14.12,24.98,0.0,High,stable
1951,34.98,21.19,6.57,37.26,Low,growth
1008,56.1,10.79,23.69,9.43,Medium,growth
1275,32.11,18.96,14.57,34.36,Medium,growth
534,47.85,24.67,21.88,5.6,Low,strain
705,52.16,26.68,6.32,14.85,Low,growth
1604,41.92,7.63,28.02,22.44,High,stable
1911,48.2,13.91,24.18,13.7,Medium,strain
1525,36.54,20.99,8.5,33.96,Medium,strain
1521,42.16,5.87,10.47,41.5,Low,strain
1913,54.84,22.27,21.1,1.79,Medium,stable
1065,42.07,18.2,28.04,11.69,Medium,growth
1629,65.99,12.21,16.15,5.65,High,growth
2000,55.14,25.37,17.14,2.36,High,strain
1202,47.55,12.25,10.95,29.26,High,strain
901,31.55,29.79,14.58,24.09,Medium,growth
1229,49.98,25.41,12.15,12.46,Medium,stable
661,60.59,22.7,13.76,2.95,High,strain
701,40.62,6.53,5.51,47.33,High,strain
1495,62.27,27.61,6.03,4.09,Medium,stable
769,40.07,24.75,22.02,13.16,Medium,strain
1315,62.95,10.73,22.04,4.28,Low,stable
1794,33.41,14.81,13.26,38.53,High,growth
955,64.65,11.72,27.14,0.0,High,growth
1985,49.97,29.61,11.65,8.77,High,strain
1775,41.86,26.35,14.89,16.89,Medium,growth
1516,40.6,28.26,23.28,7.86,Medium,stable
795,47.28,24.72,23.59,4.41,Low,strain
1219,69.96,16.41,26.53,0.0,Low,stable
837,38.81,10.14,5.73,45.32,High,growth
1378,34.13,10.2,9.59,46.08,Low,growth
1576,53.4,8.79,21.01,16.79,Medium,growth
1291,49.54,18.67,13.45,18.34,Low,strain
716,50.97,28.0,6.09,14.94,Low,stable
1263,56.68,29.79,19.66,0.0,Medium,strain
687,40.69,12.18,14.83,32.3,High,growth
879,66.43,22.43,14.1,0.0,High,growth
992,47.43,19.93,11.61,21.04,Low,strain
1564,35.16,17.22,5.15,42.46,Medium,stable
1680,59.69,21.64,9.56,9.1,Medium,growth
514,55.72,14.28,16.86,13.14,Low,stable
564,42.63,28.61,11.89,16.86,High,growth
1020,54.86,22.64,26.86,0.0,High,strain
1867,38.79,23.86,8.57,28.78,High,growth
1652,47.79,11.06,26.88,14.26,Medium,strain
1147,65.98,9.21,15.12,9.69,Medium,strain
1995,35.34,14.86,11.9,37.9,Medium,strain
1586,45.47,24.17,12.61,17.76,High,growth
1662,62.85,28.47,13.25,0.0,Low,stable
1092,68.78,15.68,17.66,0.0,Medium,stable
891,48.16,24.35,13.85,13.64,Medium,growth
918,50.28,16.76,21.18,11.78,Low,strain
788,52.89,12.38,15.63,19.1,High,stable
878,67.29,23.48,21.79,0.0,Medium,stable
730,64.33,24.96,20.11,0.0,High,growth
1517,36.82,10.07,11.11,41.99,Medium,strain
540,47.47,12.63,25.32,14.58,Medium,stable
1551,48.56,17.37,24.97,9.1,Low,growth
634,61.56,9.66,29.72,0.0,Low,growth
700,54.12,28.22,9.38,8.29,Low,strain
1279,56.17,19.78,26.2,0.0,Low,growth
1429,69.93,8.03,26.8,0.0,High,strain
1556,33.0,9.6,21.05,36.35,High,stable
1571,38.92,28.86,17.66,14.56,High,growth
1002,46.32,23.45,28.93,1.3,Low,stable
906,43.91,23.36,29.32,3.41,Medium,strain
1304,30.87,6.81,21.04,41.28,High,strain
598,33.67,27.38,13.99,24.96,Low,strain
1183,57.24,16.09,25.43,1.24,Low,growth
1225,65.17,21.49,7.23,6.1,Low,growth
1460,50.57,28.99,12.26,8.17,High,growth
1112,51.57,7.5,29.64,11.29,Medium,stable
1985,40.2,17.06,25.36,17.38,High,stable
1142,60.72,6.24,28.49,4.56,Low,growth
1528,60.07,17.49,19.87,2.57,Low,stable
1741,53.53,11.31,15.19,19.97,Low,strain
1002,38.51,27.78,29.49,4.22,High,growth
1266,33.88,14.96,12.74,38.42,Medium,strain
897,32.57,20.85,23.94,22.65,High,strain
1370,53.71,26.51,18.96,0.83,Low,strain
1294,63.0,29.59,10.71,0.0,Low,stable
892,64.33,17.6,5.44,12.63,Low,strain
706,48.54,16.39,14.59,20.47,High,stable
1538,61.37,6.89,18.69,13.04,High,strain
1391,67.88,5.32,9.58,17.23,High,growth
1984,41.01,20.22,15.36,23.41,Low,strain
1363,45.92,6.64,20.38,27.07,High,strain
1242,67.26,14.51,22.87,0.0,Medium,growth
1764,43.53,5.09,6.32,45.06,Medium,stable
1063,66.56,20.38,21.6,0.0,Medium,growth
1520,69.24,15.64,6.42,8.71,High,strain
595,56.47,8.18,5.7,29.65,Low,strain
984,62.68,12.41,8.81,16.1,Low,stable
1930,59.98,19.24,21.34,0.0,Low,strain
730,57.98,21.42,6.32,14.28,Low,strain
1248,42.28,16.56,5.52,35.64,Low,stable
1694,32.28,25.1,7.95,34.67,High,stable
1040,43.72,7.81,28.74,19.72,Medium,stable
1559,56.68,7.11,27.68,8.53,High,stable
1024,34.1,6.11,7.16,52.63,Low,strain
1683,30.48,18.4,12.6,38.53,High,stable
1766,35.59,22.66,28.68,13.07,High,stable
1609,58.63,8.26,7.44,25.67,High,strain
1077,68.91,20.97,7.36,2.75,Low,stable
1181,69.32,16.92,7.15,6.6,Low,strain
1056,49.76,29.68,29.41,0.0,Low,stable
1512,64.77,22.94,23.58,0.0,High,stable
1145,59.47,21.44,10.36,8.73,High,growth
1295,50.04,19.26,6.15,24.55,Medium,strain
1551,52.91,29.93,29.13,0.0,Medium,stable
1863,35.49,29.51,15.64,19.36,Low,growth
1854,67.51,18.45,19.96,0.0,Medium,growth
1871,44.08,16.38,11.98,27.56,Low,strain
1996,47.85,16.55,23.96,11.64,Low,growth
1754,56.87,15.71,9.92,17.5,High,strain
689,43.36,18.28,24.67,13.69,Medium,growth
1748,40.17,11.84,10.77,37.22,Low,strain
1908,55.24,28.17,7.45,9.14,Low,stable
1900,31.0,17.26,16.97,34.77,Medium,strain
1806,58.83,26.05,25.33,0.0,Medium,growth
1132,50.56,16.88,14.62,17.93,Medium,strain
1127,54.23,22.96,5.72,17.09,Medium,stable
1472,55.28,13.42,18.83,12.47,Medium,stable
1782,51.08,20.62,22.01,6.29,Medium,growth
1882,53.3,17.46,23.52,5.72,Medium,growth
1209,57.35,14.18,15.05,13.42,Low,growth
1979,60.12,27.04,7.43,5.41,High,stable
1934,59.1,7.82,19.61,13.48,Low,stable
1148,64.78,17.17,13.24,4.8,Low,growth
817,37.58,9.86,28.67,23.89,High,stable
1748,46.05,26.53,17.57,9.86,High,stable
1757,67.91,11.34,16.81,3.94,High,growth
1183,45.86,20.84,12.73,20.57,Medium,stable
1163,34.99,9.14,13.47,42.4,Medium,growth
1897,51.02,15.12,17.82,16.04,Medium,stable
1995,34.38,27.48,12.67,25.47,Low,strain
1756,38.11,9.15,27.31,25.43,High,strain
1636,69.93,21.58,15.98,0.0,High,stable
941,51.65,10.11,12.3,25.93,Low,stable
1063,41.36,15.39,8.88,34.36,Medium,strain
1791,69.79,18.52,21.81,0.0,High,growth
1909,68.66,19.43,5.64,6.26,Low,growth
1910,47.63,20.06,16.25,16.06,Medium,strain
1636,40.42,21.0,18.75,19.83,Low,growth
1451,63.54,11.79,13.49,11.18,Medium,growth
1604,58.62,15.03,23.75,2.6,Low,strain
1198,57.48,5.93,21.89,14.7,Medium,strain
612,65.72,24.22,29.28,0.0,Low,stable
501,57.58,25.93,17.72,0.0,Low,strain
1141,41.35,9.98,18.45,30.22,Low,strain
719,57.75,10.04,11.15,21.06,Low,growth
1354,42.23,6.05,14.64,37.08,High,growth
1748,60.37,29.26,5.67,4.7,High,stable
884,54.79,25.18,22.23,0.0,High,growth
1926,33.1,14.02,12.79,40.1,High,growth
1653,50.51,17.05,18.51,13.93,Low,growth
1576,43.73,12.3,11.37,32.59,High,strain
1229,43.14,19.93,20.53,16.4,High,growth
1939,54.09,22.93,16.19,6.79,Low,strain
746,42.89,16.18,17.05,23.88,High,growth
1335,61.08,26.84,28.57,0.0,High,strain
1962,32.83,17.93,22.65,26.59,Medium,growth
702,56.42,8.61,11.55,23.43,High,stable
1707,62.37,20.56,17.6,0.0,Medium,stable
622,56.91,16.56,16.67,9.86,High,stable
900,49.89,28.39,24.88,0.0,Low,growth
1266,68.01,14.8,25.83,0.0,High,stable
793,42.0,15.07,12.09,30.84,Low,strain
779,30.77,21.27,25.53,22.44,High,stable
1383,47.28,18.17,9.49,25.06,High,stable
697,31.32,14.36,24.07,30.25,Low,stable
1481,68.16,29.74,11.22,0.0,Low,stable
1251,38.4,12.55,12.45,36.6,Low,strain
643,61.56,11.94,26.31,0.19,Low,stable
1108,60.98,26.61,15.5,0.0,Medium,growth
1724,38.71,5.08,29.76,26.44,Medium,stable
1647,54.85,10.03,8.8,26.32,Low,growth
686,31.92,19.76,16.58,31.73,Medium,growth
1849,49.34,9.06,23.31,18.28,High,stable
963,30.59,29.65,5.13,34.63,High,stable
1872,66.85,16.6,8.8,7.75,High,growth
1159,69.04,19.93,5.51,5.51,Medium,strain
1263,38.89,9.01,29.82,22.28,Medium,strain
1454,38.32,12.23,24.02,25.43,High,stable
902,60.15,20.37,14.34,5.15,Low,strain
1869,40.14,18.74,8.91,32.22,High,strain
646,65.8,24.61,7.26,2.33,Medium,stable
1671,52.96,11.73,18.3,17.01,High,growth
1363,44.03,21.34,29.4,5.23,High,growth
988,63.31,12.27,21.87,2.55,Medium,strain
1428,49.74,19.67,14.13,16.47,Medium,growth
1050,66.47,20.13,17.52,0.0,Medium,stable
837,67.12,8.05,29.97,0.0,Medium,strain
1371,36.62,18.72,17.97,26.7,High,growth
1140,30.09,5.3,29.11,35.5,Medium,strain
972,69.36,17.53,5.41,7.7,Low,growth
650,66.25,22.44,23.02,0.0,Medium,strain
1938,32.22,6.82,20.68,40.28,Medium,growth
1821,63.32,28.47,22.13,0.0,High,growth
762,48.31,16.47,19.26,15.95,Low,stable
643,40.36,28.46,6.1,25.08,Low,stable
845,65.15,7.68,8.74,18.43,Low,stable
1123,37.87,28.75,28.06,5.33,Medium,strain
1516,67.89,7.73,10.82,13.55,High,strain
1380,38.22,16.54,29.82,15.41,High,strain
501,54.55,28.45,21.99,0.0,Medium,growth
1396,38.92,10.82,16.11,34.15,Low,growth
1827,51.83,5.87,28.0,14.3,Low,growth
753,57.36,24.83,24.87,0.0,High,strain
952,37.61,19.9,15.72,26.77,Medium,stable
1560,50.84,17.85,6.71,24.6,Low,strain
1683,48.76,5.86,26.71,18.67,Medium,strain
1514,32.84,21.33,24.13,21.7,High,stable
508,62.73,9.29,24.77,3.21,Medium,stable
1756,43.43,28.28,23.62,4.67,Medium,strain
1622,52.98,22.14,11.89,12.98,Medium,growth
1315,50.59,22.68,26.47,0.26,Medium,growth
707,50.53,10.81,5.06,33.6,Low,stable
1654,34.29,27.02,10.93,27.76,High,strain
903,46.94,18.44,6.16,28.45,Low,growth
651,48.09,26.43,7.76,17.71,Low,growth
553,59.35,11.77,18.31,10.57,Low,stable
1643,63.6,23.89,5.93,6.58,Low,strain
1127,51.8,19.36,9.53,19.3,High,stable
1086,33.47,6.21,10.82,49.5,High,strain
1943,39.47,15.13,21.38,24.01,Low,strain
1945,36.6,9.6,16.72,37.08,Medium,strain
603,34.98,13.98,16.46,34.58,Medium,strain
753,44.64,14.58,24.21,16.57,Medium,strain
1750,39.18,16.87,16.42,27.53,Medium,strain
1635,38.73,20.01,13.71,27.55,Medium,growth
1009,32.19,19.27,29.06,19.48,High,growth
1996,30.71,5.97,5.21,58.11,Medium,growth
598,34.11,23.77,12.63,29.49,High,growth
652,36.89,28.73,20.23,14.15,Medium,strain
1413,47.24,13.72,24.57,14.47,Medium,growth
1377,50.42,9.49,25.41,14.68,Low,strain
837,35.62,18.5,6.15,39.72,Low,stable
1321,46.99,22.62,22.73,7.66,Low,stable
1686,43.67,21.97,23.01,11.35,High,growth
1456,37.34,20.3,10.35,32.01,High,strain
660,30.27,8.66,7.82,53.25,Low,growth
1300,48.68,25.92,23.74,1.66,Low,strain
897,57.43,15.64,11.24,15.7,Medium,growth
1800,39.05,10.54,5.04,45.37,High,stable
1315,35.27,7.16,10.59,46.98,Medium,stable
1915,65.48,15.42,5.78,13.32,Medium,growth
1658,41.0,20.45,11.23,27.32,Low,growth
1718,38.94,21.63,13.38,26.05,Medium,strain
900,64.28,29.07,11.79,0.0,Medium,stable
1139,62.68,8.83,28.0,0.49,Low,growth
1556,47.93,29.64,10.81,11.61,Low,strain
1187,49.57,21.37,16.69,12.38,Medium,stable
959,38.71,16.36,28.94,16.0,Medium,strain
1454,33.13,27.2,26.98,12.68,Medium,stable
969,52.94,22.36,12.73,11.97,High,stable
1898,33.93,13.72,13.16,39.19,Medium,strain
1545,47.97,27.1,19.83,5.09,Low,strain
1249,67.62,21.67,27.95,0.0,Medium,stable
537,68.11,22.47,5.25,4.17,High,stable
729,39.57,27.41,14.83,18.19,Medium,strain
1888,54.96,16.21,26.24,2.58,High,growth
1062,48.96,21.42,15.26,14.35,High,strain
937,65.03,23.62,23.0,0.0,Low,growth
1806,40.86,16.35,22.3,20.5,Medium,strain
526,30.15,7.09,10.14,52.63,High,growth
725,36.5,24.29,16.24,22.97,Medium,growth
1800,43.98,6.2,19.15,30.67,High,stable
1297,42.63,22.95,22.89,11.54,Low,strain
783,61.65,27.77,25.56,0.0,Low,strain
1378,57.22,13.67,24.0,5.11,Medium,strain
1459,41.98,7.55,5.71,44.76,Medium,growth
952,48.31,10.82,21.77,19.1,Medium,growth
1519,33.82,19.06,17.43,29.69,Medium,stable
1315,65.93,28.57,19.35,0.0,Medium,growth
1158,67.42,17.81,14.32,0.45,High,strain
1046,69.19,7.82,22.85,0.14,Medium,growth
1715,64.74,20.69,21.85,0.0,High,growth
1572,36.96,23.32,19.49,20.23,High,stable
516,31.85,14.83,26.54,26.78,High,growth
1695,53.18,23.04,7.55,16.23,Medium,strain
1743,66.5,13.12,12.53,7.85,Low,strain
657,37.09,24.73,17.38,20.8,Low,strain
976,30.28,13.53,28.97,27.23,Medium,strain
1569,62.22,11.4,6.8,19.58,Medium,stable
1896,33.07,26.98,13.43,26.52,Medium,stable
1017,46.55,18.71,28.15,6.59,High,strain
598,57.16,12.13,27.45,3.27,Low,strain
1560,39.47,28.38,26.63,5.52,Low,growth
779,33.36,22.27,12.71,31.66,Low,growth
1872,60.8,10.52,26.17,2.51,Low,growth
996,55.21,20.37,17.63,6.79,High,growth
801,69.54,26.76,20.49,0.0,Medium,growth
680,43.77,22.4,10.97,22.85,High,strain
1106,32.47,11.12,22.67,33.74,Medium,growth
1622,59.37,21.22,13.19,6.21,Medium,growth
1199,50.87,20.48,13.6,15.05,Low,growth
1492,38.53,25.52,20.92,15.03,Low,stable
1639,61.27,9.45,11.0,18.28,Medium,stable
690,38.15,22.49,10.61,28.75,Medium,stable
752,40.43,5.68,14.23,39.66,Low,strain
1480,33.7,22.4,24.45,19.44,Low,stable
1427,45.98,29.01,10.62,14.39,Low,growth
1684,46.76,9.36,24.68,19.2,Low,growth
1779,50.58,12.78,22.39,14.24,Low,growth
1846,58.36,19.57,21.98,0.09,High,strain
627,66.24,23.31,16.87,0.0,High,stable
517,35.51,13.61,23.65,27.23,High,stable
1065,32.17,21.61,5.34,40.88,Low,growth
1069,30.74,27.48,12.64,29.14,Medium,growth
1846,35.74,23.16,21.98,19.11,Medium,stable
1185,56.32,22.78,29.68,0.0,Low,stable
1125,59.1,14.55,5.06,21.29,High,growth
1811,61.46,27.79,17.75,0.0,Medium,stable
1353,39.75,11.93,28.1,20.22,Low,stable
1461,42.24,10.13,26.59,21.04,High,strain
654,49.33,14.11,5.58,30.99,High,growth
989,32.53,21.25,18.24,27.98,High,stable
1909,54.45,26.54,5.11,13.91,High,strain
1284,69.35,8.3,24.74,0.0,High,strain
1627,44.43,25.35,12.72,17.5,High,strain
1916,60.11,25.32,24.14,0.0,High,strain
745,50.0,19.67,28.62,1.71,High,strain
1699,35.11,24.02,29.4,11.47,High,strain
1562,53.29,9.55,27.35,9.81,High,strain
2000,41.99,9.24,10.1,38.66,Low,growth
1258,31.38,26.57,9.87,32.19,Medium,growth
1037,55.4,17.45,20.64,6.5,Low,growth
1420,64.36,11.15,18.6,5.89,Medium,strain
907,43.79,22.22,5.24,28.75,Low,stable
1024,45.61,27.3,14.79,12.3,Medium,strain
1327,65.64,20.81,27.67,0.0,Medium,growth
1402,62.54,13.68,27.46,0.0,Medium,growth
535,58.6,17.08,10.1,14.22,Low,strain
1184,39.95,23.81,14.55,21.69,Medium,growth
519,66.41,6.69,19.01,7.89,High,stable
820,36.18,10.43,26.32,27.07,Medium,stable
1011,55.07,16.56,18.3,10.06,Low,stable
899,31.15,20.11,29.2,19.54,Low,strain
1153,55.75,13.48,24.98,5.8,High,growth
1471,41.09,12.46,28.83,17.63,Medium,growth
970,47.99,6.03,23.29,22.69,Low,stable
1666,43.81,5.82,26.94,23.43,Medium,growth
1615,36.91,11.97,25.78,25.35,High,strain
1877,54.88,18.26,11.35,15.51,High,stable
1333,65.28,18.91,10.74,5.07,Low,strain
1226,68.36,17.35,26.61,0.0,Medium,strain
1353,37.69,15.25,7.12,39.94,High,growth
550,58.69,11.31,15.21,14.78,High,strain
1074,56.57,15.02,25.52,2.89,Low,stable
1713,43.74,8.47,25.33,22.46,High,strain
1648,30.76,7.88,8.47,52.88,Low,growth
649,57.59,12.5,17.19,12.72,High,strain
813,67.82,29.88,17.0,0.0,High,strain
1069,55.28,13.16,13.09,18.46,Low,growth
1865,47.41,28.41,27.93,0.0,Low,growth
804,51.01,14.81,21.33,12.86,Medium,growth
1181,37.99,15.98,29.5,16.53,High,growth
1337,60.02,24.93,6.67,8.38,Medium,growth
1577,59.86,7.34,14.86,17.94,Medium,growth
1502,35.82,9.56,25.88,28.74,Low,growth
943,65.12,29.35,15.57,0.0,High,strain
1112,40.77,17.65,11.55,30.04,Low,strain
1492,69.29,6.11,29.95,0.0,High,strain
763,45.32,6.18,26.83,21.67,Low,stable
1576,37.12,27.68,18.66,16.54,High,growth
1503,44.07,26.83,19.04,10.05,Medium,strain
504,47.61,16.46,5.17,30.76,High,growth
1626,32.77,9.08,29.52,28.62,High,stable
1719,53.13,25.76,25.16,0.0,Low,growth
1273,53.91,13.12,5.92,27.06,High,strain
1376,59.56,15.48,9.41,15.56,High,stable
1491,31.17,22.06,25.53,21.25,High,growth
1383,51.65,13.83,7.17,27.34,High,stable
1873,32.12,20.72,28.54,18.62,Medium,growth
546,58.05,27.13,30.0,0.0,Low,stable
1366,32.23,24.93,27.16,15.68,High,strain
1322,66.47,14.54,23.47,0.0,Low,growth
1435,58.08,12.2,17.18,12.54,Medium,growth
1155,50.3,12.14,7.06,30.51,Medium,growth
768,47.66,13.71,23.26,15.36,High,strain
869,35.23,17.34,14.92,32.51,Low,stable
1135,41.64,15.41,19.26,23.69,Low,strain
1629,64.76,8.33,12.33,14.58,Low,stable
1156,66.18,9.09,11.05,13.68,Medium,growth
619,30.03,13.57,13.11,43.29,Medium,stable
1330,53.77,19.05,25.35,1.84,High,stable
1581,58.77,19.82,15.66,5.75,Low,growth
1869,54.75,17.16,12.79,15.3,Low,growth
1240,33.27,23.47,15.82,27.44,Medium,stable
1997,38.71,23.43,5.81,32.05,High,growth
616,40.01,15.69,27.27,17.03,High,growth
1290,63.27,8.11,18.79,9.83,High,stable
1650,48.53,18.25,7.62,25.6,Medium,strain
1916,49.47,14.54,12.21,23.78,Low,strain
1512,67.4,8.45,29.59,0.0,High,growth
1581,55.48,29.55,19.83,0.0,High,stable
1133,65.95,14.24,12.29,7.52,Low,growth
1012,48.26,20.64,15.66,15.44,High,strain
1301,35.98,17.25,11.46,35.31,Medium,strain
1619,67.2,8.57,5.8,18.44,High,stable
1641,48.35,6.39,26.05,19.21,Low,stable
1059,37.27,20.64,12.31,29.78,Medium,strain
987,42.1,11.18,25.96,20.77,High,stable
1760,32.03,11.09,16.96,39.91,Low,strain
1396,48.73,28.92,9.57,12.77,Low,growth
1795,64.13,16.54,25.05,0.0,Low,strain
1712,67.34,5.74,14.43,12.49,Low,strain
1203,67.3,13.5,22.69,0.0,High,stable
1970,35.01,19.61,25.93,19.45,High,stable
1080,45.28,13.21,29.07,12.43,Medium,stable
1289,31.13,5.67,7.15,56.05,Medium,growth
1360,64.21,16.11,5.21,14.48,Low,stable
746,44.35,7.65,18.71,29.29,Low,growth
1599,55.24,20.48,11.61,12.67,Medium,stable
653,58.6,20.49,16.73,4.19,High,stable
1958,47.19,5.94,6.82,40.05,High,strain
1496,42.26,12.27,17.54,27.94,High,strain
1609,68.49,15.34,8.12,8.05,Low,strain
1196,68.58,18.76,25.96,0.0,Medium,growth
1808,41.58,12.4,23.99,22.03,Medium,stable
1743,49.19,12.19,6.85,31.77,Medium,strain
1592,68.91,29.58,25.91,0.0,High,stable
1570,30.19,6.05,13.12,50.63,Medium,strain
1508,46.51,29.73,13.82,9.95,Medium,stable
593,34.02,6.19,9.5,50.29,High,strain
1457,50.37,12.21,25.88,11.54,Low,strain
1511,30.99,17.34,15.12,36.55,Low,strain
952,46.28,8.58,6.22,38.92,High,strain
1727,38.83,8.37,29.16,23.64,Medium,strain
1411,51.33,11.41,11.4,25.86,Low,stable
717,69.84,29.34,28.4,0.0,Low,strain
973,62.02,14.5,12.53,10.94,Low,stable
931,63.83,19.15,25.79,0.0,High,strain
840,55.41,22.61,21.61,0.38,Low,stable
1050,31.66,23.56,26.53,18.25,Medium,strain
1812,38.27,22.2,29.4,10.12,High,strain
1777,67.0,13.42,26.79,0.0,High,strain
856,44.64,7.79,15.09,32.47,Low,growth
522,34.15,12.04,25.36,28.45,Medium,stable
1021,58.1,10.26,22.79,8.86,High,stable
1623,41.98,8.41,6.54,43.07,Low,strain
1301,40.75,5.61,28.24,25.39,Medium,strain
1703,69.92,28.39,16.65,0.0,Medium,strain
1746,64.33,28.03,8.36,0.0,High,growth
1261,46.32,6.26,15.63,31.79,Low,strain
941,69.21,9.33,20.08,1.38,Medium,strain
1268,56.0,8.49,19.32,16.18,High,stable
1515,59.68,12.03,19.37,8.92,High,growth
1848,31.26,10.1,11.4,47.24,High,stable
1015,34.86,28.65,20.82,15.67,High,growth
1539,55.32,7.1,27.69,9.89,High,growth
1291,65.96,10.29,14.72,9.03,Medium,stable
835,54.95,7.02,20.76,17.27,High,stable
757,35.36,29.51,11.1,24.03,Low,growth
996,34.63,27.96,6.21,31.2,Low,growth
1395,63.77,22.92,19.64,0.0,Medium,strain
659,35.57,15.65,6.19,42.59,High,strain
1998,50.81,9.75,23.09,16.35,High,stable
1351,31.48,10.54,21.76,36.22,Medium,growth
1189,33.23,16.08,14.23,36.46,High,stable
879,56.89,24.21,15.28,3.62,High,strain
1456,57.57,11.62,27.94,2.87,Low,strain
1190,43.66,12.77,5.33,38.24,High,strain
1950,38.62,20.0,19.08,22.29,Medium,growth
1791,62.55,10.94,28.08,0.0,Low,stable
1940,38.68,19.61,27.85,13.86,Medium,growth
1691,51.68,14.68,19.62,14.02,Medium,growth
1566,68.73,5.86,14.53,10.88,High,strain
784,35.91,15.07,7.47,41.55,High,strain
896,67.64,27.99,9.34,0.0,Low,stable
511,37.32,12.33,21.99,28.36,Medium,growth
1825,52.7,13.07,5.42,28.82,Medium,stable
1776,45.08,6.65,27.09,21.18,High,stable
998,68.6,20.38,19.7,0.0,Medium,stable
1253,40.94,26.23,6.13,26.7,Medium,stable
534,45.99,13.82,10.99,29.2,Medium,strain
1226,69.31,11.01,19.86,0.0,Medium,stable
1348,51.46,28.92,5.89,13.74,Medium,strain
589,50.11,23.63,24.5,1.77,Low,stable
1275,40.31,19.18,28.0,12.51,Medium,strain
1104,58.05,12.64,29.03,0.28,Medium,stable
1469,30.57,10.52,23.34,35.56,Low,growth
1521,31.98,22.89,26.42,18.71,High,growth
917,53.97,18.04,20.27,7.71,High,strain
614,43.67,18.01,16.46,21.85,Low,strain
1116,68.13,6.84,22.83,2.2,Low,stable
1719,66.13,17.8,10.6,5.46,High,growth
1325,58.55,25.57,7.74,8.14,Medium,stable
1598,62.73,28.67,24.05,0.0,Medium,strain
912,56.69,7.67,28.95,6.68,Low,stable
1899,35.02,20.78,19.44,24.76,Medium,growth
1943,60.62,19.21,17.06,3.11,Low,growth
1228,38.41,27.26,18.36,15.97,High,growth
1800,42.94,23.78,16.96,16.32,Medium,growth
1520,62.77,29.13,16.06,0.0,High,growth
1260,51.46,29.0,28.68,0.0,Medium,strain
1175,64.4,10.64,16.99,7.97,Medium,stable
